iteration,total_energy,potential_energy
3530,-3371.63,-3372.66
3540,-3371.63,-3372.68
3550,-3371.63,-3372.7
3560,-3371.63,-3372.72
3570,-3371.63,-3372.73
3580,-3371.63,-3372.74
3590,-3371.63,-3372.74
3600,-3371.63,-3372.74
3610,-3371.63,-3372.73
3620,-3371.63,-3372.72
3630,-3371.63,-3372.7
3640,-3371.63,-3372.69
3650,-3371.63,-3372.67
3660,-3371.63,-3372.65
3670,-3371.63,-3372.63
3680,-3371.63,-3372.62
3690,-3371.63,-3372.61
3700,-3371.63,-3372.6
3710,-3371.63,-3372.59
3720,-3371.63,-3372.59
3730,-3371.63,-3372.59
3740,-3371.63,-3372.6
3750,-3371.63,-3372.61
3760,-3371.63,-3372.62
3770,-3371.63,-3372.63
3780,-3371.63,-3372.65
3790,-3371.63,-3372.67
3800,-3371.63,-3372.69
3810,-3371.63,-3372.7
3820,-3371.63,-3372.72
3830,-3371.63,-3372.74
3840,-3371.63,-3372.75
3850,-3371.63,-3372.76
3860,-3371.63,-3372.78
3870,-3371.63,-3372.79
3880,-3371.63,-3372.8
3890,-3371.63,-3372.8
3900,-3371.63,-3372.81
3910,-3371.63,-3372.82
3920,-3371.63,-3372.82
3930,-3371.63,-3372.83
3940,-3371.63,-3372.83
3950,-3371.63,-3372.83
3960,-3371.63,-3372.84
3970,-3371.63,-3372.83
3980,-3371.63,-3372.83
3990,-3371.63,-3372.82
4000,-3371.63,-3372.81
4010,-3371.63,-3372.8
4020,-3371.63,-3372.78
4030,-3371.63,-3372.75
4040,-3371.63,-3372.73
4050,-3371.63,-3372.69
4060,-3371.63,-3372.66
4070,-3371.63,-3372.62
4080,-3371.63,-3372.59
4090,-3371.63,-3372.55
4100,-3371.63,-3372.51
4110,-3371.63,-3372.48
4120,-3371.63,-3372.45
4130,-3371.63,-3372.43
4140,-3371.63,-3372.41
4150,-3371.63,-3372.4
4160,-3371.63,-3372.4
4170,-3371.63,-3372.41
4180,-3371.63,-3372.42
4190,-3371.63,-3372.45
4200,-3371.63,-3372.48
4210,-3371.63,-3372.52
4220,-3371.63,-3372.56
4230,-3371.63,-3372.61
4240,-3371.63,-3372.65
4250,-3371.63,-3372.7
4260,-3371.63,-3372.75
4270,-3371.63,-3372.8
4280,-3371.63,-3372.85
4290,-3371.63,-3372.89
4300,-3371.63,-3372.93
4310,-3371.63,-3372.97
4320,-3371.63,-3373
4330,-3371.63,-3373.02
4340,-3371.63,-3373.04
4350,-3371.63,-3373.06
4360,-3371.63,-3373.07
4370,-3371.63,-3373.07
4380,-3371.63,-3373.07
4390,-3371.63,-3373.07
4400,-3371.63,-3373.06
4410,-3371.63,-3373.04
4420,-3371.63,-3373.02
4430,-3371.63,-3373
4440,-3371.63,-3372.97
4450,-3371.63,-3372.94
4460,-3371.63,-3372.9
4470,-3371.63,-3372.85
4480,-3371.63,-3372.81
4490,-3371.63,-3372.75
4500,-3371.63,-3372.7
4510,-3371.63,-3372.64
4520,-3371.63,-3372.59
4530,-3371.63,-3372.53
4540,-3371.63,-3372.47
4550,-3371.63,-3372.42
4560,-3371.63,-3372.37
4570,-3371.63,-3372.32
4580,-3371.63,-3372.28
4590,-3371.63,-3372.24
4600,-3371.63,-3372.21
4610,-3371.63,-3372.18
4620,-3371.63,-3372.16
4630,-3371.63,-3372.15
4640,-3371.63,-3372.14
4650,-3371.63,-3372.15
4660,-3371.63,-3372.16
4670,-3371.63,-3372.18
4680,-3371.63,-3372.21
4690,-3371.63,-3372.25
4700,-3371.63,-3372.29
4710,-3371.63,-3372.34
4720,-3371.63,-3372.4
4730,-3371.63,-3372.46
4740,-3371.63,-3372.53
4750,-3371.63,-3372.6
4760,-3371.63,-3372.67
4770,-3371.63,-3372.74
4780,-3371.63,-3372.8
4790,-3371.63,-3372.87
4800,-3371.63,-3372.93
4810,-3371.63,-3372.98
4820,-3371.63,-3373.03
4830,-3371.63,-3373.07
4840,-3371.63,-3373.11
4850,-3371.63,-3373.14
4860,-3371.63,-3373.16
4870,-3371.63,-3373.17
4880,-3371.63,-3373.18
4890,-3371.63,-3373.18
4900,-3371.63,-3373.17
4910,-3371.63,-3373.15
4920,-3371.63,-3373.13
4930,-3371.63,-3373.09
4940,-3371.63,-3373.05
4950,-3371.63,-3373.01
4960,-3371.63,-3372.95
4970,-3371.63,-3372.89
4980,-3371.62,-3372.83
4990,-3371.62,-3372.76
